#,Company,Location_HQ,Country,Continent,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in_$_mil,Year,lat,lng,Symbol,Date_datetime
1204,Microsoft,Seattle,USA,North America,10000.0,2023-01-18,5.0,200000.0,190000.0,Other,Post-IPO,$1,2023,47.60621,-122.33207,MSFT,2023-01-18
1213,nCino,Wilmington,USA,North America,100.0,2023-01-18,7.0,1429.0,1329.0,Finance,Post-IPO,,2023,34.23556,-77.94604,NCNO,2023-01-18
1191,CS Disco,Austin,USA,North America,62.0,2023-01-19,9.0,689.0,627.0,Legal,Post-IPO,$233,2023,30.26715,-97.74306,LAW,2023-01-19
1172,Wayfair,Boston,USA,North America,1750.0,2023-01-20,10.0,17500.0,15750.0,Retail,Post-IPO,$1700,2023,42.35843,-71.05977,W,2023-01-20
1150,Bolt,San Francisco Bay Area,USA,North America,50.0,2023-01-24,10.0,500.0,450.0,Finance,Series E,$1300,2023,37.77493,-122.41942,BOLT,2023-01-24
1148,Vacasa,Portland,USA,North America,1300.0,2023-01-24,17.0,7647.0,6347.0,Travel,Post-IPO,$834,2023,45.52345,-122.67621,VCSA,2023-01-24
1140,Guardant Health,San Francisco Bay Area,USA,North America,130.0,2023-01-25,7.0,1857.0,1727.0,Healthcare,Post-IPO,$550,2023,37.44188,-122.14302,GH,2023-01-25
1128,SAP,Walldorf,Germany,Europe,3000.0,2023-01-26,3.0,100000.0,97000.0,Other,Post-IPO,$1300,2023,49.99472,8.58361,SAP,2023-01-26
1129,Confluent,San Francisco Bay Area,USA,North America,221.0,2023-01-26,8.0,2763.0,2542.0,Data,Post-IPO,$455,2023,37.38605,-122.08385,CFLT,2023-01-26
1086,Workday,San Francisco Bay Area,USA,North America,525.0,2023-01-31,3.0,17500.0,16975.0,HR,Post-IPO,$230,2023,37.66243,-121.87468,WDAY,2023-01-31
1084,PayPal,San Francisco Bay Area,USA,North America,2000.0,2023-01-31,7.0,28571.0,26571.0,Finance,Post-IPO,$216,2023,37.33939,-121.89496,PYPL,2023-01-31
1087,HubSpot,Boston,USA,North America,500.0,2023-01-31,7.0,7143.0,6643.0,Marketing,Post-IPO,$100,2023,42.35843,-71.05977,HUBS,2023-01-31
1088,Upstart,San Francisco Bay Area,USA,North America,365.0,2023-01-31,20.0,1825.0,1460.0,Finance,Post-IPO,$144,2023,37.56299,-122.32553,UPST,2023-01-31
1067,DraftKings,Boston,USA,North America,140.0,2023-02-01,4.0,3500.0,3360.0,Consumer,Post-IPO,$719,2023,42.35843,-71.05977,DKNG,2023-02-01
1050,Okta,San Francisco Bay Area,USA,North America,300.0,2023-02-02,5.0,6000.0,5700.0,Security,Post-IPO,$1200,2023,37.77493,-122.41942,OKTA,2023-02-02
1027,SecureWorks,Atlanta,USA,North America,212.0,2023-02-07,9.0,2356.0,2144.0,Security,Post-IPO,$83,2023,33.749,-84.38798,SCWX,2023-02-07
1026,eBay,San Francisco Bay Area,USA,North America,500.0,2023-02-07,4.0,12500.0,12000.0,Retail,Post-IPO,$1200,2023,37.33939,-121.89496,EBAY,2023-02-07
1025,Zoom,San Francisco Bay Area,USA,North America,1300.0,2023-02-07,15.0,8667.0,7367.0,Other,Post-IPO,$276,2023,37.33939,-121.89496,ZM,2023-02-07
1016,Affirm,San Francisco Bay Area,USA,North America,500.0,2023-02-08,19.0,2632.0,2132.0,Finance,Post-IPO,$1500,2023,37.77493,-122.41942,AFRM,2023-02-08
1015,GoDaddy,Phoenix,USA,North America,530.0,2023-02-08,8.0,6625.0,6095.0,Marketing,Post-IPO,$800,2023,33.44838,-112.07404,GDDY,2023-02-08
1011,REE Automotive,Tel Aviv,Israel,Asia,31.0,2023-02-09,11.0,282.0,251.0,Transportation,Post-IPO,$317,2023,32.08088,34.78057,REE,2023-02-09
1008,GitLab,San Francisco Bay Area,USA,North America,130.0,2023-02-09,7.0,1857.0,1727.0,Product,Post-IPO,$413,2023,37.77493,-122.41942,GTLB,2023-02-09
1007,Oportun,San Francisco Bay Area,USA,North America,155.0,2023-02-09,10.0,1550.0,1395.0,Finance,Post-IPO,$566,2023,37.50716,-122.26052,OPRT,2023-02-09
984,Twilio,San Francisco Bay Area,USA,North America,1500.0,2023-02-13,17.0,8824.0,7324.0,Other,Post-IPO,$614,2023,37.77493,-122.41942,TWLO,2023-02-13
985,Electric,New York City,USA,North America,141.0,2023-02-13,25.0,564.0,423.0,Other,Series D,$212,2023,40.71427,-74.00597,AEP,2023-02-13
988,iRobot,Boston,USA,North America,85.0,2023-02-13,7.0,1214.0,1129.0,Consumer,Acquired,$30,2023,42.35843,-71.05977,IRBT,2023-02-13
969,Sprinklr,New York City,USA,North America,100.0,2023-02-15,4.0,2500.0,2400.0,Support,Post-IPO,$429,2023,40.71427,-74.00597,CXM,2023-02-15
968,DigitalOcean,New York City,USA,North America,200.0,2023-02-15,11.0,1818.0,1618.0,Infrastructure,Post-IPO,$491,2023,40.71427,-74.00597,DOCN,2023-02-15
964,Wix,Tel Aviv,Israel,Asia,370.0,2023-02-15,6.0,6167.0,5797.0,Marketing,Post-IPO,$58,2023,32.08088,34.78057,WIX,2023-02-15
962,Smartsheet,Seattle,USA,North America,85.0,2023-02-16,3.0,2833.0,2748.0,Other,Post-IPO,$152,2023,47.60621,-122.33207,SMAR,2023-02-16
961,The RealReal,San Francisco Bay Area,USA,North America,230.0,2023-02-16,7.0,3286.0,3056.0,Retail,Post-IPO,$356,2023,37.77493,-122.41942,REAL,2023-02-16
959,DocuSign,San Francisco Bay Area,USA,North America,680.0,2023-02-16,10.0,6800.0,6120.0,Sales,Post-IPO,$536,2023,37.77493,-122.41942,DOCU,2023-02-16
953,Micron,Boise,USA,North America,2400.0,2023-02-17,5.0,48000.0,45600.0,Hardware,Post-IPO,$50,2023,43.6135,-116.20345,MU,2023-02-17
916,Ericsson,Stockholm,Sweden,Europe,8500.0,2023-02-24,8.0,106250.0,97750.0,Other,Post-IPO,$663,2023,59.32938,18.06871,ERIC,2023-02-24
911,Palantir,Denver,USA,North America,75.0,2023-02-27,2.0,3750.0,3675.0,Data,Post-IPO,$3000,2023,39.73915,-104.9847,PLTR,2023-02-27
904,Eventbrite,San Francisco Bay Area,USA,North America,80.0,2023-02-28,8.0,1000.0,920.0,Consumer,Post-IPO,$557,2023,37.77493,-122.41942,EB,2023-02-28
901,Sonder,San Francisco Bay Area,USA,North America,100.0,2023-03-01,14.0,714.0,614.0,Travel,Post-IPO,$839,2023,37.77493,-122.41942,SOND,2023-03-01
895,Thoughtworks,Chicago,USA,North America,500.0,2023-03-01,4.0,12500.0,12000.0,Other,Post-IPO,$748,2023,41.85003,-87.65005,TWKS,2023-03-01
885,Zscaler,San Francisco Bay Area,USA,North America,177.0,2023-03-02,3.0,5900.0,5723.0,Security,Post-IPO,$148,2023,37.33939,-121.89496,ZS,2023-03-02
871,SiriusXM,New York City,USA,North America,475.0,2023-03-06,8.0,5938.0,5463.0,Media,Post-IPO,$525,2023,40.71427,-74.00597,LSXMA,2023-03-06
870,Atlassian,Sydney,Australia,Australia,500.0,2023-03-06,5.0,10000.0,9500.0,Other,Post-IPO,$210,2023,-33.86785,151.20732,TEAM,2023-03-06
846,Meta,San Francisco Bay Area,USA,North America,10000.0,2023-03-14,13.5841170323929,73615.0,63615.0,Consumer,Post-IPO,$26000,2023,37.45383,-122.18219,META,2023-03-14
834,Freshworks,San Francisco Bay Area,USA,North America,114.0,2023-03-16,2.0,5700.0,5586.0,Support,Post-IPO,$484,2023,37.56299,-122.32553,FRSH,2023-03-16
838,Leafly,Seattle,USA,North America,40.0,2023-03-16,21.0,190.0,150.0,Retail,Post-IPO,$71,2023,47.60621,-122.33207,LFLY,2023-03-16
829,Amazon,Seattle,USA,North America,9000.0,2023-03-20,2.295918367346939,392000.0,383000.0,Retail,Post-IPO,$108,2023,47.60621,-122.33207,AMZN,2023-03-20
802,AEye,San Francisco Bay Area,USA,North America,46.0,2023-03-28,33.0,139.0,93.0,Transportation,Post-IPO,$314,2023,37.77493,-122.41942,LIDR,2023-03-28
796,iCAD,Nashua,USA,North America,23.0,2023-03-29,28.0,82.0,59.0,Healthcare,Post-IPO,$59,2023,42.76537,-71.46757,ICAD,2023-03-29
793,Electronic Arts,San Francisco Bay Area,USA,North America,780.0,2023-03-29,6.0,13000.0,12220.0,Consumer,Post-IPO,$2,2023,37.48522,-122.23635,EA,2023-03-29
783,Loop,Austin,USA,North America,19.0,2023-03-30,25.0,76.0,57.0,Finance,Series A,$24,2023,30.26715,-97.74306,LPTV,2023-03-30
780,Roku,San Francisco Bay Area,USA,North America,200.0,2023-03-30,6.0,3333.0,3133.0,Media,Post-IPO,$208,2023,37.33939,-121.89496,ROKU,2023-03-30
764,Amplitude,San Francisco Bay Area,USA,North America,99.0,2023-04-05,13.0,762.0,663.0,Data,Post-IPO,$311,2023,37.77493,-122.41942,AMPL,2023-04-05
748,Redfin,Seattle,USA,North America,201.0,2023-04-11,4.0,5025.0,4824.0,Real Estate,Post-IPO,$320,2023,47.60621,-122.33207,RDFN,2023-04-11
721,Opendoor,San Francisco Bay Area,USA,North America,560.0,2023-04-18,22.0,2545.0,1985.0,Real Estate,Post-IPO,$1900,2023,37.77493,-122.41942,OPEN,2023-04-18
712,BuzzFeed,New York City,USA,North America,180.0,2023-04-20,15.0,1200.0,1020.0,Media,Post-IPO,$696,2023,40.71427,-74.00597,BZFD,2023-04-20
709,Lyft,San Francisco Bay Area,USA,North America,1072.0,2023-04-21,26.0,4123.0,3051.0,Transportation,Post-IPO,$4900,2023,37.77493,-122.41942,LYFT,2023-04-21
705,Rapid,San Francisco Bay Area,USA,North America,70.0,2023-04-25,30.0,233.0,163.0,Finance,Series D,$272,2023,37.77493,-122.41942,RPID,2023-04-25
704,Rapid,San Francisco Bay Area,USA,North America,115.0,2023-04-25,50.0,230.0,115.0,Finance,Series D,$272,2023,37.77493,-122.41942,RPID,2023-04-25
690,Vroom,New York City,USA,North America,120.0,2023-04-27,11.0,1091.0,971.0,Transportation,Post-IPO,$1300,2023,40.71427,-74.00597,VRM,2023-04-27
688,Dropbox,San Francisco Bay Area,USA,North America,500.0,2023-04-27,16.0,3125.0,2625.0,Other,Post-IPO,$1700,2023,37.77493,-122.41942,DBX,2023-04-27
683,Cue Health,San Diego,USA,North America,326.0,2023-04-28,30.0,1087.0,761.0,Healthcare,Post-IPO,$899,2023,32.71571,-117.16472,HLTH,2023-04-28
670,Brightcove,Boston,USA,North America,70.0,2023-05-03,10.0,700.0,630.0,Marketing,Post-IPO,$145,2023,42.35843,-71.05977,BCOV,2023-05-03
668,Upwork,San Francisco Bay Area,USA,North America,137.0,2023-05-03,15.0,913.0,776.0,Other,Post-IPO,$168,2023,37.77493,-122.41942,UPWK,2023-05-03
667,Unity,San Francisco Bay Area,USA,North America,600.0,2023-05-03,8.0,7500.0,6900.0,Other,Post-IPO,$1300,2023,37.77493,-122.41942,U,2023-05-03
661,Sabre,Dallas,USA,North America,1100.0,2023-05-04,15.0,7333.0,6233.0,Travel,Post-IPO,,2023,32.78306,-96.80667,SABR,2023-05-04
660,Shopify,Ottawa,Canada,North America,2300.0,2023-05-04,20.0,11500.0,9200.0,Retail,Post-IPO,$122,2023,45.41117,-75.69812,SHOP,2023-05-04
656,Twist Bioscience,San Francisco Bay Area,USA,North America,270.0,2023-05-05,25.0,1080.0,810.0,Healthcare,Post-IPO,$503,2023,37.77493,-122.41942,TWST,2023-05-05
648,AudioCodes,Tel Aviv,Israel,Asia,80.0,2023-05-09,6.0,1333.0,1253.0,Other,Post-IPO,$91,2023,32.08088,34.78057,AUDC,2023-05-09
646,Akamai,Boston,USA,North America,290.0,2023-05-09,3.0,9667.0,9377.0,Security,Post-IPO,$35,2023,42.35843,-71.05977,AKAM,2023-05-09
628,Lemonade,New York City,USA,North America,45.0,2023-05-16,3.0,1500.0,1455.0,Finance,Post-IPO,$481,2023,40.71427,-74.00597,LMND,2023-05-16
605,Western Digital,Kfar Saba,Israel,Asia,60.0,2023-05-24,7.0,857.0,797.0,Hardware,Post-IPO,$900,2023,32.175,34.90694,WDC,2023-05-24
602,Guild,Denver,USA,North America,172.0,2023-05-24,12.0,1433.0,1261.0,Education,Series F,$643,2023,39.73915,-104.9847,GHLD,2023-05-24
585,ZipRecruiter,Los Angeles,USA,North America,270.0,2023-05-31,20.0,1350.0,1080.0,Recruiting,Post-IPO,$769,2023,34.05223,-118.24368,ZIP,2023-05-31
578,Outbrain,New York City,USA,North America,90.0,2023-06-01,10.0,900.0,810.0,Marketing,Post-IPO,$394,2023,40.71427,-74.00597,OB,2023-06-01
572,ZoomInfo,Vancouver,Canada,North America,120.0,2023-06-02,3.0,4000.0,3880.0,Sales,Post-IPO,$7,2023,49.24966,-123.11934,ZI,2023-06-02
561,Edgio,Phoenix,USA,North America,134.0,2023-06-06,12.0,1117.0,983.0,Infrastructure,Post-IPO,$462,2023,33.44838,-112.07404,EGIO,2023-06-06
545,23andMe,San Francisco Bay Area,USA,North America,75.0,2023-06-09,9.0,833.0,758.0,Healthcare,Post-IPO,$1100,2023,37.77493,-122.41942,ME,2023-06-09
540,Chegg,San Francisco Bay Area,USA,North America,80.0,2023-06-12,4.0,2000.0,1920.0,Education,Post-IPO,$227,2023,37.35411,-121.95524,CHGG,2023-06-12
531,Olo,New York City,USA,North America,81.0,2023-06-14,11.0,736.0,655.0,Food,Post-IPO,$184,2023,40.71427,-74.00597,OLO,2023-06-14
530,TrueCar,Los Angeles,USA,North America,102.0,2023-06-14,24.0,425.0,323.0,Transportation,Post-IPO,$340,2023,34.05223,-118.24368,TRUE,2023-06-14
529,Sonos,New York City,USA,North America,130.0,2023-06-14,7.0,1857.0,1727.0,Consumer,Post-IPO,$455,2023,40.71427,-74.00597,SONO,2023-06-14
510,Grab,Singapore,Singapore,Asia,1000.0,2023-06-20,11.0,9091.0,8091.0,Transportation,Post-IPO,$16500,2023,1.28967,103.85007,GRAB,2023-06-20
504,Uber,San Francisco Bay Area,USA,North America,200.0,2023-06-21,0.9961647656522389,20077.0,19877.0,Transportation,Post-IPO,$25200,2023,37.77493,-122.41942,UBER,2023-06-21
498,Robinhood,San Francisco Bay Area,USA,North America,150.0,2023-06-26,7.0,2143.0,1993.0,Finance,Post-IPO,$5600,2023,37.45383,-122.18219,HOOD,2023-06-26
439,Matterport,San Francisco Bay Area,USA,North America,170.0,2023-07-11,30.0,567.0,397.0,Data,Post-IPO,$409,2023,37.36883,-122.03635,MTTR,2023-07-11
419,AudioCodes,Tel Aviv,Israel,Asia,80.0,2023-07-13,6.0,1333.0,1253.0,Other,Post-IPO,$91,2023,32.08088,34.78057,AUDC,2023-07-13
403,Inspirato,Denver,USA,North America,50.0,2023-07-19,6.0,833.0,783.0,Travel,Post-IPO,$179,2023,39.73915,-104.9847,ISPO,2023-07-19
362,Planet,San Francisco Bay Area,USA,North America,117.0,2023-08-01,10.0,1170.0,1053.0,Aerospace,Post-IPO,$574,2023,37.77493,-122.41942,PL,2023-08-01
329,Rapid7,Boston,USA,North America,470.0,2023-08-08,18.0,2611.0,2141.0,Security,Post-IPO,$89,2023,42.35843,-71.05977,RPD,2023-08-08
328,Thoughtworks,Chicago,USA,North America,579.0,2023-08-08,5.0,11580.0,11001.0,Other,Post-IPO,$748,2023,41.85003,-87.65005,TWKS,2023-08-08
332,23andMe,San Francisco Bay Area,USA,North America,71.0,2023-08-08,11.0,645.0,574.0,Healthcare,Post-IPO,$1100,2023,37.77493,-122.41942,ME,2023-08-08
331,Doximity,San Francisco Bay Area,USA,North America,100.0,2023-08-08,10.0,1000.0,900.0,Healthcare,Post-IPO,$82,2023,37.77493,-122.41942,DOCS,2023-08-08
320,Blend,San Francisco Bay Area,USA,North America,150.0,2023-08-09,19.0,789.0,639.0,Finance,Post-IPO,$665,2023,37.77493,-122.41942,BLND,2023-08-09
311,SecureWorks,Atlanta,USA,North America,300.0,2023-08-14,15.0,2000.0,1700.0,Security,Post-IPO,$83,2023,33.749,-84.38798,SCWX,2023-08-14
305,AppFolio,Santa Barbara,USA,North America,149.0,2023-08-17,9.0,1656.0,1507.0,Real Estate,Post-IPO,$30,2023,34.42083,-119.69819,APPF,2023-08-17
285,Atlas,Chicago,USA,North America,150.0,2023-08-23,30.0,500.0,350.0,HR,Series B,$220,2023,41.85003,-87.65005,AESI,2023-08-23
287,BlackLine,Los Angeles,USA,North America,95.0,2023-08-23,5.0,1900.0,1805.0,Finance,Post-IPO,$220,2023,34.05223,-118.24368,BL,2023-08-23
276,Zebra Technologies,Chicago,USA,North America,700.0,2023-08-28,7.0,10000.0,9300.0,Manufacturing,Post-IPO,,2023,41.85003,-87.65005,ZBRA,2023-08-28
255,Absci,Portland,USA,North America,30.0,2023-09-05,15.0,200.0,170.0,Healthcare,Post-IPO,$238,2023,45.52345,-122.67621,ABSI,2023-09-05
249,Roku,San Francisco Bay Area,USA,North America,360.0,2023-09-06,10.0,3600.0,3240.0,Media,Post-IPO,$208,2023,37.33939,-121.89496,ROKU,2023-09-06
163,MariaDB,San Francisco Bay Area,USA,North America,84.0,2023-10-12,28.0,300.0,216.0,Data,Post-IPO,$272,2023,37.48522,-122.23635,MRDB,2023-10-12
111,Beyond Meat,Los Angeles,USA,North America,65.0,2023-11-02,8.0,813.0,748.0,Food,Post-IPO,$122,2023,34.05223,-118.24368,BYND,2023-11-02
91,TripAdvisor,Boston,USA,North America,125.0,2023-11-12,4.0,3125.0,3000.0,Travel,Post-IPO,$3,2023,42.35843,-71.05977,TRIP,2023-11-12
56,Unity,San Francisco Bay Area,USA,North America,265.0,2023-11-28,4.0,6625.0,6360.0,Other,Post-IPO,$1300,2023,37.77493,-122.41942,U,2023-11-28
21,Etsy,New York City,USA,North America,225.0,2023-12-13,11.0,2045.0,1820.0,Retail,Post-IPO,$97,2023,40.71427,-74.00597,ETSY,2023-12-13
3527,Etsy,New York City,USA,North America,225.0,2023-12-13,11.0,2045.0,1820.0,Retail,Post-IPO,$97,2024,40.71427,-74.00597,ETSY,2023-12-13
16,Bolt,San Francisco Bay Area,USA,North America,130.0,2023-12-14,29.0,450.0,320.0,Finance,Series E,$1300,2023,37.77493,-122.41942,BOLT,2023-12-14
14,Cruise,San Francisco Bay Area,USA,North America,900.0,2023-12-14,24.0,3750.0,2850.0,Transportation,Acquired,$15000,2023,37.77493,-122.41942,NCLH,2023-12-14
3519,Cruise,San Francisco Bay Area,USA,North America,900.0,2023-12-14,24.0,3750.0,2850.0,Transportation,Acquired,"$15,000",2024,37.77493,-122.41942,NCLH,2023-12-14
3510,Enphase Energy,San Francisco Bay Area,USA,North America,350.0,2023-12-18,10.0,3500.0,3150.0,Energy,Post-IPO,$116,2024,37.77493,-122.41942,ENPH,2023-12-18
6,Enphase Energy,San Francisco Bay Area,USA,North America,350.0,2023-12-18,10.0,3500.0,3150.0,Energy,Post-IPO,$116,2023,37.54827,-121.98857,ENPH,2023-12-18
3496,Xerox,Norwalk,USA,North America,3000.0,2024-01-03,15.0,20000.0,17000.0,Hardware,Post-IPO,"$27,200",2024,41.1175966,-73.4078968,XRX,2024-01-03
3491,Cue Health,San Diego,USA,North America,94.0,2024-01-05,13.0,723.0,629.0,Healthcare,Post-IPO,$899,2024,32.71571,-117.16472,HLTH,2024-01-05
3481,NuScale Power,Corvallis,USA,North America,154.0,2024-01-08,28.0,550.0,396.0,Energy,Post-IPO,$470,2024,44.5645659,-123.2620435,SMR,2024-01-08
3479,Unity,San Francisco Bay Area,USA,North America,1800.0,2024-01-08,25.0,7200.0,5400.0,Other,Post-IPO,"$1,300",2024,37.77493,-122.41942,U,2024-01-08
3473,Rent the Runway,New York City,USA,North America,37.0,2024-01-09,10.0,370.0,333.0,Retail,Post-IPO,$526,2024,40.71427,-74.00597,RENT,2024-01-09
3470,Nevro,San Francisco Bay Area,USA,North America,63.0,2024-01-09,5.0,1260.0,1197.0,Healthcare,Post-IPO,$556,2024,37.77493,-122.41942,NVRO,2024-01-09
3448,Playtika,Tel Aviv,Israel,Asia,300.0,2024-01-11,10.0,3000.0,2700.0,Consumer,Post-IPO,,2024,32.08088,34.78057,PLTK,2024-01-11
3430,Wayfair,Boston,USA,North America,1650.0,2024-01-19,13.0,12692.0,11042.0,Retail,Post-IPO,"$1,700",2024,42.35843,-71.05977,W,2024-01-19
3429,SolarEdge,Tel Aviv,Israel,Asia,900.0,2024-01-21,16.0,5625.0,4725.0,Energy,Post-IPO,$155,2024,32.08088,34.78057,SEDG,2024-01-21
3415,SAP,Walldorf,Germany,Europe,8000.0,2024-01-23,7.0,114286.0,106286.0,Other,Post-IPO,"$1,300",2024,49.99472,8.58361,SAP,2024-01-23
3417,Vroom,New York City,USA,North America,800.0,2024-01-23,90.0,889.0,89.0,Transportation,Post-IPO,"$1,300",2024,40.71427,-74.00597,VRM,2024-01-23
3416,eBay,San Francisco Bay Area,USA,North America,1000.0,2024-01-23,9.0,11111.0,10111.0,Retail,Post-IPO,"$1,200",2024,37.77493,-122.41942,EBAY,2024-01-23
3399,Salesforce,San Francisco Bay Area,USA,North America,700.0,2024-01-26,1.0,70000.0,69300.0,Sales,Post-IPO,$65,2024,37.77493,-122.41942,CRM,2024-01-26
3396,iRobot,Boston,USA,North America,350.0,2024-01-29,31.0,1129.0,779.0,Consumer,Post-IPO,$30,2024,42.35843,-71.05977,IRBT,2024-01-29
3387,PayPal,San Francisco Bay Area,USA,North America,2500.0,2024-01-30,9.0,27778.0,25278.0,Finance,Post-IPO,$216,2024,37.3361663,-121.890591,PYPL,2024-01-30
3384,Innoviz,Tel Aviv,Israel,Europe,60.0,2024-01-31,13.0,462.0,402.0,Transportation,Post-IPO,$547,2024,32.08088,34.78057,INVZ,2024-01-31
3376,Zoom,San Francisco Bay Area,USA,North America,150.0,2024-02-01,2.0,7500.0,7350.0,Other,Post-IPO,$276,2024,37.3361663,-121.890591,ZM,2024-02-01
3375,Okta,San Francisco Bay Area,USA,North America,400.0,2024-02-01,7.0,5714.0,5314.0,Security,Post-IPO,"$1,200",2024,37.77493,-122.41942,OKTA,2024-02-01
3370,Cue Health,San Diego,USA,North America,245.0,2024-02-02,30.0,817.0,572.0,Healthcare,Post-IPO,$899,2024,32.71571,-117.16472,HLTH,2024-02-02
3361,Snap,Los Angeles,USA,North America,500.0,2024-02-05,10.0,5000.0,4500.0,Consumer,Post-IPO,"$4,900",2024,34.05223,-118.24368,SNAP,2024-02-05
3358,DocuSign,San Francisco Bay Area,USA,North America,440.0,2024-02-06,6.0,7333.0,6893.0,Sales,Post-IPO,$536,2024,37.77493,-122.41942,DOCU,2024-02-06
3346,SiriusXM,New York City,USA,North America,160.0,2024-02-12,3.0,5333.0,5173.0,Media,Post-IPO,$525,2024,40.71427,-74.00597,LSXMA,2024-02-12
3341,Impinj,Seattle,USA,North America,50.0,2024-02-13,10.0,500.0,450.0,Other,Post-IPO,$137,2024,47.60621,-122.33207,PI,2024-02-13
3335,Cisco,San Francisco Bay Area,USA,North America,4250.0,2024-02-14,5.0,85000.0,80750.0,Infrastructure,Post-IPO,$2,2024,37.3361663,-121.890591,CSCO,2024-02-14
3330,Sonder,San Francisco Bay Area,USA,North America,106.0,2024-02-15,17.0,623.0,517.0,Travel,Post-IPO,$839,2024,37.77493,-122.41942,SOND,2024-02-15
3329,Toast,Boston,USA,North America,550.0,2024-02-15,10.0,5500.0,4950.0,Food,Post-IPO,$962,2024,42.35843,-71.05977,TOST,2024-02-15
3312,Expedia,Seattle,USA,North America,1500.0,2024-02-26,8.0,18750.0,17250.0,Travel,Post-IPO,"$3,300",2024,47.60621,-122.33207,EXPE,2024-02-26
3309,Bumble,Austin,USA,North America,350.0,2024-02-27,30.0,1167.0,817.0,Consumer,Post-IPO,$313,2024,30.26715,-97.74306,BMBL,2024-02-27
3304,Electronic Arts,San Francisco Bay Area,USA,North America,670.0,2024-02-28,5.0,13400.0,12730.0,Consumer,Post-IPO,$2,2024,37.77493,-122.41942,EA,2024-02-28
3305,Vacasa,Portland,USA,North America,320.0,2024-02-28,5.0,6400.0,6080.0,Travel,Post-IPO,$834,2024,45.52345,-122.67621,VCSA,2024-02-28
3295,Edgio,Phoenix,USA,North America,80.0,2024-03-04,10.0,800.0,720.0,Infrastructure,Post-IPO,$462,2024,33.44838,-112.07404,EGIO,2024-03-04
3270,Dell,Austin,USA,North America,6000.0,2024-03-25,5.0,120000.0,114000.0,Hardware,Post-IPO,,2024,30.26715,-97.74306,DELL,2024-03-25
